0:0:0:0:0:0:0:1 	- 	[2015-12-23 09:31:39.875] 	"GET / HTTP/1.1" 	200 	- 	"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36" 	129ms
0:0:0:0:0:0:0:1 	- 	[2015-12-23 09:31:40.97] 	"GET /console/img/logo_baasbox_lp.png HTTP/1.1" 	304 	- 	"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36" 	83ms
127.0.0.1 	- 	[2015-12-23 09:31:41.768] 	"POST /login HTTP/1.1" 	200 	229 	"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36" 	128ms
127.0.0.1 	- 	[2015-12-23 09:31:41.768] 	"GET /document/frutta?page=0&recordsPerPage=50 HTTP/1.1" 	401 	672 	"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36" 	128ms
127.0.0.1 	admin 	[2015-12-23 09:31:43.384] 	"GET /document/alcolici?page=0&recordsPerPage=50 HTTP/1.1" 	200 	2682 	"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36" 	72ms
127.0.0.1 	admin 	[2015-12-23 09:31:43.498] 	"GET /document/alcolici?page=0&recordsPerPage=50 HTTP/1.1" 	200 	2682 	"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36" 	22ms
127.0.0.1 	admin 	[2015-12-23 09:31:44.73] 	"GET /document/altro?page=0&recordsPerPage=50 HTTP/1.1" 	200 	1137 	"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36" 	13ms
127.0.0.1 	admin 	[2015-12-23 09:31:46.37] 	"GET /document/alcolici?page=0&recordsPerPage=50 HTTP/1.1" 	200 	2682 	"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36" 	14ms
0:0:0:0:0:0:0:1 	- 	[2015-12-23 09:31:49.746] 	"GET /console HTTP/1.1" 	303 	- 	"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36" 	1ms
0:0:0:0:0:0:0:1 	- 	[2015-12-23 09:31:49.752] 	"GET /console/ HTTP/1.1" 	200 	- 	"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36" 	42ms
0:0:0:0:0:0:0:1 	- 	[2015-12-23 09:31:49.808] 	"GET /console/css/baasbox.css HTTP/1.1" 	304 	- 	"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36" 	3ms
0:0:0:0:0:0:0:1 	- 	[2015-12-23 09:31:49.808] 	"GET /console/css/charisma-app.css HTTP/1.1" 	304 	- 	"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36" 	3ms
